Score,KILLS,DEATH,PING,TEAM,DAMAGE,MultiKillLevel0,MultiKillLevel1,MultiKillLevel2,MultiKillLevel3,MultiKillLevel4,SpreeKillLevel0,SpreeKillLevel1,SpreeKillLevel2,SpreeKillLevel3,SpreeKillLevel4,MATCHID,PLAYERID,PlayerName,Winner
118.699974,35,29,108.0,Red,4168,3,0,0,0,0,0,0,0,0,0,35,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Blue
113.199966,17,20,48.0,Blue,2499,1,0,0,0,0,0,0,0,0,0,35,82cf781fe624480594f0c535c1e512b9,Maddeh,Blue
48.399979,18,25,36.0,Red,2584,1,0,0,0,0,1,0,0,0,0,35,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Blue
73.199936,17,27,32.0,Red,2876,0,0,0,0,0,0,0,0,0,0,35,27ac9520952448188c49d93671fbb7a5,riffage,Blue
163.70018,26,20,68.0,Red,3906,1,0,0,0,0,1,0,0,0,0,35,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
211.899872,24,13,56.0,Blue,3949,1,0,0,0,0,0,0,0,0,0,35,cc1b709905ec4359b04bc2f4060eacdb,bdy,Blue
50.800007,6,33,64.0,Red,1269,0,0,0,0,0,0,0,0,0,0,35,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Blue
195.400177,26,18,108.0,Blue,3878,2,0,0,0,0,1,0,0,0,0,35,48f4bf941b4448d0b32cc684781b35bc,Valot,Blue
218.300003,28,20,28.0,Blue,3420,3,1,0,0,0,1,0,0,0,0,36,247f5a3e45e5418bb2079066d445f112,Kngkyle,Blue
153.0,18,13,68.0,Red,3183,1,0,0,0,0,1,0,0,0,0,36,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
67.099983,13,17,60.0,Red,1170,1,0,0,0,0,1,0,0,0,0,36,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Blue
129.599915,9,12,56.0,Blue,2298,0,0,0,0,0,0,0,0,0,0,36,cc1b709905ec4359b04bc2f4060eacdb,bdy,Blue
132.099945,22,16,108.0,Blue,3046,4,0,0,0,0,1,0,0,0,0,36,48f4bf941b4448d0b32cc684781b35bc,Valot,Blue
51.399979,27,17,112.0,Red,3273,2,0,0,0,0,0,0,0,0,0,36,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Blue
195.499969,15,22,32.0,Blue,1709,2,0,0,0,0,0,0,0,0,0,36,270a7c56bff14deb91a46ee8300513cc,Kronos[X],Blue
84.699966,8,17,48.0,Blue,1508,1,0,0,0,0,0,0,0,0,0,36,82cf781fe624480594f0c535c1e512b9,Maddeh,Blue
49.099995,15,22,36.0,Red,1350,0,0,0,0,0,0,0,0,0,0,36,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Blue
33.600029,12,17,32.0,Red,1666,1,0,0,0,0,0,0,0,0,0,36,27ac9520952448188c49d93671fbb7a5,riffage,Blue
3.0,3,0,28.0,Red,513,0,0,0,0,0,0,0,0,0,0,37,de60fb6009a24775846326574e49ce3c,phantasi,Red
0.0,0,3,64.0,Blue,331,0,0,0,0,0,0,0,0,0,0,37,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Red
262.700043,37,31,68.0,Blue,5111,7,1,0,0,0,0,0,0,0,0,38,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Red
260.0,44,44,28.0,Blue,6069,3,0,0,0,0,1,0,0,0,0,38,247f5a3e45e5418bb2079066d445f112,Kngkyle,Red
95.599968,21,37,36.0,Blue,2652,1,0,0,0,0,0,0,0,0,0,38,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Red
250.200775,69,29,40.0,Blue,7759,8,2,0,0,0,4,2,0,0,0,38,b6ad99d3cacd4df09141083bb699fd33,therealfusion,Red
358.0,45,50,44.0,Red,5314,2,0,0,0,0,1,0,0,0,0,38,b066fe72291f40fa81175d31632541f6,pb.,Red
100.499947,27,37,36.0,Blue,4647,0,0,0,0,0,1,0,0,0,0,38,27ac9520952448188c49d93671fbb7a5,riffage,Red
269.600006,34,44,52.0,Red,5415,2,1,0,0,0,1,0,0,0,0,38,82cf781fe624480594f0c535c1e512b9,Maddeh,Red
140.499847,33,42,112.0,Red,4926,3,0,0,0,0,0,0,0,0,0,38,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
109.599945,24,37,56.0,Red,4273,1,0,0,0,0,0,0,0,0,0,38,cc1b709905ec4359b04bc2f4060eacdb,bdy,Red
162.300034,36,34,112.0,Red,3709,4,0,0,0,0,0,0,0,0,0,38,48f4bf941b4448d0b32cc684781b35bc,Valot,Red
305.0,53,47,28.0,Blue,7226,6,0,0,0,0,0,0,0,0,0,39,247f5a3e45e5418bb2079066d445f112,Kngkyle,Blue
330.400024,50,27,64.0,Blue,6182,5,0,0,0,0,3,0,0,0,0,39,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
93.099953,33,44,56.0,Red,3516,2,0,0,0,0,0,0,0,0,0,39,cc1b709905ec4359b04bc2f4060eacdb,bdy,Blue
306.100311,49,55,36.0,Red,6648,3,1,0,0,0,2,0,0,0,0,39,b066fe72291f40fa81175d31632541f6,pb.,Blue
193.900024,23,43,32.0,Blue,2930,1,0,0,0,0,0,0,0,0,0,39,27ac9520952448188c49d93671fbb7a5,riffage,Blue
172.599945,36,47,36.0,Blue,4581,2,0,0,0,0,0,0,0,0,0,39,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Blue
219.300018,38,41,48.0,Red,4442,3,1,0,0,0,1,0,0,0,0,39,82cf781fe624480594f0c535c1e512b9,Maddeh,Blue
309.300537,61,23,40.0,Blue,7701,5,3,0,0,0,4,2,0,0,0,39,b6ad99d3cacd4df09141083bb699fd33,therealfusion,Blue
2.0,2,0,28.0,Red,200,0,0,0,0,0,0,0,0,0,0,40,de60fb6009a24775846326574e49ce3c,phantasi,Red
257.800049,47,33,40.0,Red,6782,4,0,0,0,0,3,1,1,0,0,41,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Blue
281.600037,47,28,40.0,Blue,7545,5,0,0,0,0,3,0,0,0,0,41,9d10daebc1074f90bf16c90de19552b0,Darth,Blue
249.500031,28,30,32.0,Blue,4148,0,0,0,0,0,1,0,0,0,0,41,27ac9520952448188c49d93671fbb7a5,riffage,Blue
85.999985,12,50,64.0,Red,1764,0,0,0,0,0,0,0,0,0,0,41,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Blue
210.800583,59,29,24.0,Blue,7737,6,0,0,0,0,4,1,0,0,0,41,fa58a598a894468283c7423dc8cabde5,blackmane-,Blue
137.300049,32,36,104.0,Blue,4773,1,0,0,0,0,0,0,0,0,0,41,48f4bf941b4448d0b32cc684781b35bc,Valot,Blue
183.500092,33,36,76.0,Red,5212,4,0,0,0,0,0,0,0,0,0,41,cd6e3e1057f1484c8248e4c1ba4a3cb1,triangle,Blue
74.699997,20,37,36.0,Red,3891,1,0,0,0,0,0,0,0,0,0,41,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Blue
153.60022,15,33,24.0,Blue,2542,0,0,0,0,0,0,0,0,0,0,41,4b60680ccb7241178e68f13e91acc008,Geetee,Blue
193.800461,39,26,76.0,Red,6074,3,0,0,0,0,0,0,0,0,0,41,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
159.800156,33,53,88.0,Red,4976,1,0,0,0,0,0,0,0,0,0,42,cd6e3e1057f1484c8248e4c1ba4a3cb1,triangle,Blue
434.200012,59,42,36.0,Red,8328,5,0,0,0,0,1,0,0,0,0,42,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Blue
105.999954,16,38,24.0,Blue,2424,0,0,0,0,0,0,0,0,0,0,42,4b60680ccb7241178e68f13e91acc008,Geetee,Blue
311.500275,55,36,76.0,Red,7290,3,0,0,0,0,2,0,0,0,0,42,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
255.700333,61,40,28.0,Blue,8049,8,2,1,0,0,4,0,0,0,0,42,fa58a598a894468283c7423dc8cabde5,blackmane-,Blue
296.300262,34,35,32.0,Blue,4149,1,0,0,0,0,0,0,0,0,0,42,27ac9520952448188c49d93671fbb7a5,riffage,Blue
86.699867,14,55,64.0,Red,2940,1,0,0,0,0,0,0,0,0,0,42,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Blue
104.29998,20,36,36.0,Red,3963,1,0,0,0,0,1,0,0,0,0,42,66968d22ef7e4eb183c52ce1ebb178aa,constablle,Blue
202.200012,36,43,104.0,Blue,4830,2,0,0,0,0,0,0,0,0,0,42,48f4bf941b4448d0b32cc684781b35bc,Valot,Blue
494.300018,72,28,44.0,Blue,9119,7,0,0,0,0,5,0,0,0,0,42,9d10daebc1074f90bf16c90de19552b0,Darth,Blue
10.0,10,7,108.0,Blue,2293,0,0,0,0,0,0,0,0,0,0,43,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Blue
9.0,9,5,60.0,Blue,2717,0,0,0,0,0,0,0,0,0,0,43,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
9.0,9,10,28.0,Red,3366,0,0,0,0,0,0,0,0,0,0,43,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
7.0,7,11,20.0,Red,2045,1,0,0,0,0,0,0,0,0,0,43,5b1fa447e4f74294845bf2c9302f9fe9,juice,Blue
13.0,13,5,72.0,Blue,3217,0,0,0,0,0,1,0,0,0,0,43,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
1.0,1,13,56.0,Red,940,0,0,0,0,0,0,0,0,0,0,43,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Blue
11.0,11,11,72.0,Blue,3369,1,0,0,0,0,0,0,0,0,0,44,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
3.0,3,13,56.0,Red,1385,0,0,0,0,0,0,0,0,0,0,44,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Blue
5.0,5,14,108.0,Blue,2981,0,0,0,0,0,0,0,0,0,0,44,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Blue
18.0,18,12,24.0,Red,4320,1,0,0,0,0,1,0,0,0,0,44,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
21.0,21,9,84.0,Blue,4111,1,0,0,0,0,1,0,0,0,0,44,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
13.0,13,12,20.0,Red,3903,0,0,0,0,0,0,0,0,0,0,44,5b1fa447e4f74294845bf2c9302f9fe9,juice,Blue
13.0,13,9,76.0,Red,3499,0,0,0,0,0,1,0,0,0,0,45,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Red
13.0,13,10,28.0,Red,3789,0,0,0,0,0,0,0,0,0,0,45,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Red
9.0,9,11,20.0,Blue,3582,1,0,0,0,0,0,0,0,0,0,45,5b1fa447e4f74294845bf2c9302f9fe9,juice,Red
6.0,6,10,104.0,Red,2271,0,0,0,0,0,0,0,0,0,0,45,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
4.0,4,12,56.0,Blue,2045,0,0,0,0,0,0,0,0,0,0,45,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Red
16.0,16,10,48.0,Blue,3581,0,0,0,0,0,0,0,0,0,0,45,4ddcf09ab5774cbe9ed1f9d5b7e7751e,PaWwEeZy,Red
13.0,13,9,48.0,Blue,3076,0,0,0,0,0,0,0,0,0,0,46,4ddcf09ab5774cbe9ed1f9d5b7e7751e,PaWwEeZy,Blue
13.0,13,11,72.0,Red,3430,0,0,0,0,0,1,0,0,0,0,46,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
12.0,13,11,24.0,Red,3522,0,0,0,0,0,0,0,0,0,0,46,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
5.0,5,12,108.0,Red,2114,1,0,0,0,0,0,0,0,0,0,46,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Blue
13.0,13,11,20.0,Blue,3517,0,0,0,0,0,0,0,0,0,0,46,5b1fa447e4f74294845bf2c9302f9fe9,juice,Blue
7.0,7,11,56.0,Blue,2566,0,0,0,0,0,0,0,0,0,0,46,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
13.0,13,9,24.0,Blue,3732,0,0,0,0,0,0,0,0,0,0,47,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
10.0,10,7,56.0,Blue,3301,0,0,0,0,0,0,0,0,0,0,47,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
7.0,7,12,76.0,Red,3365,0,0,0,0,0,0,0,0,0,0,47,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
12.0,12,7,40.0,Blue,2229,0,0,0,0,0,1,0,0,0,0,47,9d10daebc1074f90bf16c90de19552b0,Darth,Blue
14.0,14,11,64.0,Red,3712,1,0,0,0,0,1,0,0,0,0,47,fd83abe496ca401497b5adf4e412bf2c,dc!,Blue
1.0,2,13,68.0,Red,888,0,0,0,0,0,0,0,0,0,0,47,7da7f83317c54160849ba9083761975a,TAXICOMMANDER,Blue
6.0,6,11,64.0,Red,2768,0,0,0,0,0,0,0,0,0,0,48,fd83abe496ca401497b5adf4e412bf2c,dc!,Blue
6.0,6,10,72.0,Red,2420,0,0,0,0,0,0,0,0,0,0,48,07e19a614135469b9419f42a2e37fb9f,ExitNextRight,Blue
11.0,11,7,24.0,Blue,3185,1,0,0,0,0,1,0,0,0,0,48,48eb6c6460e7456b8a0d655f010b34de,Trinatek,Blue
14.0,14,3,40.0,Blue,2754,0,0,0,0,0,1,1,0,0,0,48,9d10daebc1074f90bf16c90de19552b0,Darth,Blue
8.0,9,6,56.0,Blue,2422,0,0,0,0,0,0,0,0,0,0,48,c8ab4752327d417dbc2f051fb7762328,HoBoxX7Xx,Blue
3.0,3,13,64.0,Red,1005,0,0,0,0,0,0,0,0,0,0,48,7da7f83317c54160849ba9083761975a,TAXICOMMANDER,Blue
8.0,8,2,28.0,Blue,1932,0,0,0,0,0,1,0,0,0,0,49,897a4c4f1a864cc889e9141806001ebc,MutedSlayerking,Blue
0.0,1,10,32.0,Red,715,0,0,0,0,0,0,0,0,0,0,49,8391f207a85b4bc6aa3abc3a743a3e81,K1ngKl4y,Blue
358.0,57,41,24.0,Red,7293,2,0,0,0,0,3,1,0,0,0,50,9791051e04bd423aafa44fc5d2379002,PayBack,Red
340.0,56,35,56.0,Blue,9208,0,0,0,0,0,2,1,0,0,0,50,cc1b709905ec4359b04bc2f4060eacdb,bdy,Red
94.899971,16,61,64.0,Red,3238,1,0,0,0,0,0,0,0,0,0,50,3798c79d0f654877a7f8dea582fabed5,emc.clark.kent,Red
210.700012,33,42,48.0,Blue,4961,1,0,0,0,0,1,0,0,0,0,50,82cf781fe624480594f0c535c1e512b9,Maddeh,Red
239.300323,28,47,112.0,Red,6057,2,0,0,0,0,0,0,0,0,0,50,b8d23b3de9264ced86b4ec96f927ea6f,acme_,Red
433.0,75,29,36.0,Red,9693,8,1,0,0,0,4,2,1,0,0,50,f1a92287ff034123a2e848f39206c881,ttv.fallacy_,Red
